"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Employees - Manual","2008","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2008","Building completion and finishing (433)","Number",""
"Employees - Manual","2008","Other specialised construction activities (439)","Number",""
"Employees - Manual","2008","Construction (41 to 43)","Number",""
"Employees - Manual","2009","Development of building projects (411)","Number",""
"Employees - Manual","2009","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2009","Construction of roads and railways (421)","Number",""
"Employees - Manual","2009","Construction of utility projects (422)","Number",""
"Employees - Manual","2009","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2009","Demolition and site preparation (431)","Number",""
"Employees - Manual","2009","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2009","Building completion and finishing (433)","Number",""
"Employees - Manual","2009","Other specialised construction activities (439)","Number",""
"Employees - Manual","2009","Construction (41 to 43)","Number",""
"Employees - Manual","2010","Development of building projects (411)","Number",""
"Employees - Manual","2010","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2010","Construction of roads and railways (421)","Number",""
"Employees - Manual","2010","Construction of utility projects (422)","Number",""
"Employees - Manual","2010","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2010","Demolition and site preparation (431)","Number",""
"Employees - Manual","2010","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2010","Building completion and finishing (433)","Number",""
"Employees - Manual","2010","Other specialised construction activities (439)","Number",""
"Employees - Manual","2010","Construction (41 to 43)","Number",""
"Employees - Manual","2011","Development of building projects (411)","Number",""
"Employees - Manual","2011","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2011","Construction of roads and railways (421)","Number",""
"Employees - Manual","2011","Construction of utility projects (422)","Number",""
"Employees - Manual","2011","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2011","Demolition and site preparation (431)","Number",""
"Employees - Manual","2011","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2011","Building completion and finishing (433)","Number",""
"Employees - Manual","2011","Other specialised construction activities (439)","Number",""
"Employees - Manual","2011","Construction (41 to 43)","Number",""
"Employees - Manual","2012","Development of building projects (411)","Number",""
"Employees - Manual","2012","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2012","Construction of roads and railways (421)","Number",""
"Employees - Manual","2012","Construction of utility projects (422)","Number",""
"Employees - Manual","2012","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2012","Demolition and site preparation (431)","Number",""
"Employees - Manual","2012","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2012","Building completion and finishing (433)","Number",""
"Employees - Manual","2012","Other specialised construction activities (439)","Number",""
"Employees - Manual","2012","Construction (41 to 43)","Number",""
"Employees - Manual","2013","Development of building projects (411)","Number",""
"Employees - Manual","2013","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2013","Construction of roads and railways (421)","Number",""
"Employees - Manual","2013","Construction of utility projects (422)","Number",""
"Employees - Manual","2013","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2013","Demolition and site preparation (431)","Number",""
"Employees - Manual","2013","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2013","Building completion and finishing (433)","Number",""
"Employees - Manual","2013","Other specialised construction activities (439)","Number",""
"Employees - Manual","2013","Construction (41 to 43)","Number",""
"Employees - Manual","2014","Development of building projects (411)","Number",""
"Employees - Manual","2014","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2014","Construction of roads and railways (421)","Number",""
"Employees - Manual","2014","Construction of utility projects (422)","Number",""
"Employees - Manual","2014","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2014","Demolition and site preparation (431)","Number",""
"Employees - Manual","2014","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2014","Building completion and finishing (433)","Number",""
"Employees - Manual","2014","Other specialised construction activities (439)","Number",""
"Employees - Manual","2014","Construction (41 to 43)","Number",""
"Employees - Manual","2015","Development of building projects (411)","Number",""
"Employees - Manual","2015","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2015","Construction of roads and railways (421)","Number",""
"Employees - Manual","2015","Construction of utility projects (422)","Number",""
"Employees - Manual","2015","Construction of other civil engineering projects (429)","Number",""
